"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"793564357506498560","","","2016-11-01 21:24:21 +0000","<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","Check me out - I've just gone and dropped the finest packet of Cheese &amp; Onion crisps you'll ever taste https://t.co/EUZUMpI7YY","","","","http://ift.tt/2eROLbW"
"793538437592809472","","","2016-11-01 19:41:21 +0000","<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","Who has no thumbs and just dispensed a packet of Ready Salted crisps? This machine https://t.co/tuNY6pFnZA","","","","http://ift.tt/2f7Z75S"
"793537678314762241","","","2016-11-01 19:38:20 +0000","<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","Oh hai! You'll never guess what - I've just dispensed a packet of Cheese &amp; Onion crisps https://t.co/5phHxKwGHQ","","","","http://ift.tt/2faLgw3"
"793460431016919041","","","2016-11-01 14:31:23 +0000","<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","Who likes Ready Salted crisps? 'Cos I've just dispensed a packet of them in my drawer https://t.co/tuNY6pFnZA","","","","http://ift.tt/2f7Z75S"
"793455631776841728","","","2016-11-01 14:12:18 +0000","<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","Oh hai! You'll never guess what - I've just dispensed a packet of Prawn Cocktail crisps https://t.co/tuNY6pFnZA","","","","http://ift.tt/2f7Z75S"
"793442302517776384","","","2016-11-01 13:19:21 +0000","<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","I've just dropped the hottest Cheese &amp; Onion crisps of 2016 (Caution: Contents may not be hot) https://t.co/tuNY6pFnZA","","","","http://ift.tt/2f7Z75S"
"793436017709740033","","","2016-11-01 12:54:22 +0000","<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","Oh hai! You'll never guess what - I've just dispensed a packet of Prawn Cocktail crisps https://t.co/q0iRF55mTk","","","","http://ift.tt/2f2r3uk"
"793435249166454784","","","2016-11-01 12:51:19 +0000","<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","I've just dropped the hottest Ready Salted crisps of 2016 (Caution: Contents may not be hot) https://t.co/tuNY6pFnZA","","","","http://ift.tt/2f7Z75S"
"793421666613358592","","","2016-11-01 11:57:21 +0000","<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","Who likes Prawn Cocktail crisps? 'Cos I've just dispensed a packet of them in my drawer https://t.co/tuNY6pFnZA","","","","http://ift.tt/2f7Z75S"
"793406575574736896","","","2016-11-01 10:57:23 +0000","<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","Who has no thumbs and just dispensed a packet of Cheese &amp; Onion crisps? This machine https://t.co/q0iRF55mTk","","","","http://ift.tt/2f2r3uk"
"793399775957745664","","","2016-11-01 10:30:21 +0000","<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","Check me out - I've just gone and dropped the finest packet of Salt &amp; Vinegar crisps you'll ever taste https://t.co/tuNY6pFnZA","","","","http://ift.tt/2f7Z75S"
"793385422810415104","","","2016-11-01 09:33:19 +0000","<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","Who likes Cheese &amp; Onion crisps? 'Cos I've just dispensed a packet of them in my drawer https://t.co/tuNY6pFnZA","","","","http://ift.tt/2f7Z75S"
"793341134995095552","","","2016-11-01 06:37:20 +0000","<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","I've just dropped the hottest Prawn Cocktail crisps of 2016 (Caution: Contents may not be hot) https://t.co/k1TAU9WaHL","","","","http://ift.tt/2fpoiEy"
"793306655324856320","","","2016-11-01 04:20:20 +0000","<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","Oh hai! You'll never guess what - I've just dispensed a packet of Salt &amp; Vinegar crisps https://t.co/eyuMEgFOWL","","","","http://ift.tt/2f7fOyF"
"793245011940929536","","","2016-11-01 00:15:23 +0000","<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","I've just dropped the hottest Ready Salted crisps of 2016 (Caution: Contents may not be hot) https://t.co/lXclPjOkjd","","","","http://ift.tt/2dWv2Zr"
"793221348738920448","","","2016-10-31 22:41:21 +0000","<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","I've just dropped the hottest Cheese &amp; Onion crisps of 2016 (Caution: Contents may not be hot) https://t.co/q0iRF55mTk","","","","http://ift.tt/2f2r3uk"
"793218082214903808","","","2016-10-31 22:28:22 +0000","<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","I've just dropped the hottest Salt &amp; Vinegar crisps of 2016 (Caution: Contents may not be hot) https://t.co/q0iRF55mTk","","","","http://ift.tt/2f2r3uk"
"793215050316218369","","","2016-10-31 22:16:19 +0000","<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","Who has no thumbs and just dispensed a packet of Prawn Cocktail crisps? This machine https://t.co/q0iRF55mTk","","","","http://ift.tt/2f2r3uk"
"793209007662047232","","","2016-10-31 21:52:19 +0000","<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","Who has no thumbs and just dispensed a packet of Ready Salted crisps? This machine https://t.co/q0iRF55mTk","","","","http://ift.tt/2f2r3uk"
"793160444454264832","","","2016-10-31 18:39:20 +0000","<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","Oh hai! You'll never guess what - I've just dispensed a packet of Salt &amp; Vinegar crisps https://t.co/lnq8wR2JgW","","","","http://ift.tt/2eUJr5b"
"793153393791475712","","","2016-10-31 18:11:19 +0000","<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","Oh hai! You'll never guess what - I've just dispensed a packet of Prawn Cocktail crisps https://t.co/ZVnIwN7lwb","","","","http://ift.tt/2e5aPfa"
"793140319218962433","","","2016-10-31 17:19:22 +0000","<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","Check me out - I've just gone and dropped the finest packet of Salt &amp; Vinegar crisps you'll ever taste https://t.co/US4p8OlBx2","","","","http://ift.tt/2fkWS2T"
"793138050889121792","","","2016-10-31 17:10:21 +0000","<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","Who likes Cheese &amp; Onion crisps? 'Cos I've just dispensed a packet of them in my drawer https://t.co/ObEyXq3S16","","","","http://ift.tt/2efhLtm"
"793104336335364096","","","2016-10-31 14:56:23 +0000","<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","Oh hai! You'll never guess what - I've just dispensed a packet of Cheese &amp; Onion crisps https://t.co/ZVnIwN7lwb","","","","http://ift.tt/2e5aPfa"
